event,date,term,theme_label,covered_categories,hackmd_url,video_url,event_url
2024.11,2024-11,第伍次,你知道記者怎麼查找立法院資料嗎？,資料解讀與媒體識讀;AI與資料工具,https://g0v.hackmd.io/@hRQQwB1RRValc_Fu0Awrmw/SJNsjztM1e,,https://g0v-congress.kktix.cc/events/g0v-congress5n
2024.12,2024-12,第陸次,立法院資料新手指引工作坊,議事與立法流程,https://g0v.hackmd.io/k6MuTeTMRuaYTVBxQZU34g,,https://g0vcongressthon.oen.tw/events/2pzDIxnrNncfXHqo9dkZ6VOu65s
2025.1,2025-01,第柒次,你真的看得懂立法院預算在審什麼東西嗎？,預算決算,https://g0v.hackmd.io/g6M0JpcsRUy6zJo-5ISoYA,,https://g0vcongressthon.oen.tw/events/2rGMrJlCQshfQxXSIC6Xhjrbi9s
2025.2,2025-02,第捌次,預算三讀通過，然後呢？－－記者和 NGO 如何透過資料行動,預算決算;資料解讀與媒體識讀,https://g0v.hackmd.io/USWwNSnpRxyjcygqig6Dbw,,https://g0vcongressthon.oen.tw/events/2sbuSbv75mOfRmCICRCk5QIO9Hu
2025.3,2025-03,第玖次,立法透明，真的做得到？—— LawTrace 如何揭開國會決策的軌跡,平台與產品形式;議事與立法流程,https://g0v.hackmd.io/mFhCt7NVRUeEWDL8W_znkg,,https://g0vcongressthon.oen.tw/events/2ttCVK38tDOiog8URK6MWK6aQAU
2025.4,2025-04,第拾次,預決算資料整理協作黑客松,預算決算,https://g0v.hackmd.io/@hRQQwB1RRValc_Fu0Awrmw/Sy8w_Vjklx,,https://g0vcongressthon.oen.tw/events/2vcSlV4wScpMJ1W6jPiLnJbfhQr
2025.7,2025-07,第拾參次,除了走出門投票，我們還能怎麼參與民主？——LawTrace 實戰講座來了！,平台與產品形式;議事與立法流程,https://g0v.hackmd.io/P7qxY8hVTDOd2GBmH-WWrA,,https://g0vcongressthon.oen.tw/events/2zid03kau2NZtpLPjFPnJkGkZhq
2025.8,2025-08,第拾肆次,NGO 的倡議武器：如何透過預算看見政府的行動軌跡？,預算決算,,,https://g0vcongressthon.oen.tw/events/30uSCFb3yVEjZW3T6MYS4AkVDGB
2025.10,2025-10,第拾陸次,蛤！國會預算變成遊戲了？－－從紙上談兵到動手實作,預算決算,https://g0v.hackmd.io/KaG8tomOSi6HyHh0YyeRnQ,,https://g0vcongressthon.oen.tw/events/348aQs6a4G73m0osCBo5X4DQ578
2025.11,2025-11,第拾柒次,預算桌遊體驗「市長換我當」、LINE BOT 使用者測試＆預算提案資料小黑客松,AI與資料工具;預算決算,https://g0v.hackmd.io/OcjHQuF2SGeQVOB0RtdztA,,https://g0vcongressthon.oen.tw/events/348aQs6a4G73m0osCBo5X4DQ578
2025.12,2025-12,第拾捌次,從 lawtrace 看公民科技,平台與產品形式,https://g0v.hackmd.io/DBkSKyirSkCfJV4jJ-upfQ,,https://g0vcongressthon.oen.tw/events/35xgpXkGmBhm0wsiAlXXi4eVhWn
2026.1,2026-01,第拾玖次,一次查清楚政府預算走向：Open Budget 政府預算查詢平台,預算決算;平台與產品形式,https://g0v.hackmd.io/Wfe0hEscQSuR0dtfsVmyuA,,https://g0vcongressthon.oen.tw/events/37qWhpHvYYb1XRn3gVQNSb524nS
2026.2,2026-02,第貳拾次,AI 也能監督政府？一起打造在地的議會觀測工具,AI與資料工具;特定政策議題,https://g0v.hackmd.io/4DjUCQHzTUyR86p6FPPcsQ,,https://g0vcongressthon.oen.tw/events/38pXvSh4qLtrL3tFEyslOE9rCy3
2026.4,2026-04,第貳拾壹次,mySociety 公民科技報告線上讀書會,受眾與入門,,,https://g0vcongressthon.oen.tw/events/3BoGq11hQNe0oX6pkJ2bTf2EVd2
2026.6,2026-06,第貳拾貳次,AI 改變研究工作了嗎？－－聊聊我們怎麼用 AI 整理資料、追蹤議題,AI與資料工具,https://g0v.hackmd.io/VY8yT7GMRu-1uNPgL5QaVQ,,https://g0vcongressthon.oen.tw/events/3EuMhAv2k8WyFVjIjLO8zv0gkhO
